,단어,뜻
1181,fatigue,피로
1182,checkup,건강 진단
1183,symtom,증상
1184,physician,내과의사
1185,diagnosis,진단
1186,prescribe,"(약을)처방하다, 규정하다"
1187,recovery,"회복, 쾌유"
1188,recognize,"인정하다, 알아보다"
1189,join,~에 가입하다
1190,comprehensive,"종합적인, 포괄적인"
1191,participate,"참여하다, 참가하다"
1192,recommend,"권고하다, 추천하다"
1193,necessary,필요한
1194,ability,능력
1195,operation,수술
1196,cleanliness,청결
1197,duration,"지속 기간, 지속"
1198,examination,"진찰, 검사"
1199,eliminate,제거하다
1200,easily,쉽게
1201,dental,치과의
1202,dietary,"식이 요법의, 규정식의"
1203,related,관련된
1204,transmit,전염시키다
1205,periodically,주기적으로
1206,reaction,반응
1207,simple,단순한
1208,coverage,"(보험의)보상 범위; (신문 등의)보도, 취재범위"
1209,exposure,노출
1210,pharmaceutical,"제약의, 약학의"
1211,premium,보험료
1212,relieve,완화시키다
1213,combination,"결합, 연합"
1214,conscious,"알고 있는, 자각하고 있는"
1215,deprivation,"박탈, 상실"
1216,health,"건강; (사회,기관의,)번영,안녕"
1217,induce,유발하다
1218,insurance,보험
1219,nutrition,영양
1220,prevention,예방
1221,susceptible,"~에 감염되기 쉬운, 영향 받기 쉬운"
