,단어,뜻
1015,delinquent,"(세금 등이)연체된, 미불의"
1016,overdue,"(지불,반납 등의)기한이 지난, 지불 기한이 넘은"
1017,regrettably,유감스럽게도
1018,balance,"잔고, 차감 잔액"
1019,deposit,"입금하다, 예금하다"
1020,investigation,조사 
1021,account,계좌; 설명; 고려
1022,statement,"명세서, 성명서"
1023,amount,"액수, 양"
1024,withdrawal,(예금의)인출
1025,previously,이전에
1026,due,"만기가 된, 지불 기일이 된;(금전 등이)~에게 마땅히 지급되어야 할"
1027,receive,"받다, 수취하다"
1028,expect,"예상하다, 기대하다"
1029,certificate,"증명서, 증서"
1030,document,"서류, 문서"
1031,spending,소비; 지출
1032,successfully,성공적으로
1033,bill,"~에게 청구서를 보내다, 청구서, 계산서"
1034,pleasure,"즐거움, 기쁜, 영광"
1035,study,연구
1036,summary,"요약, 개요"
1037,temporary,임시의
1038,lower,"(양,가격을)줄이다"
1039,transaction,"거래, 업무"
1040,double,두배로 만들다
1041,identification,"신분증, 신분 증명서"
1042,dissatisfaction,"불만, 불평"
1043,in common,"공통으로, 공동으로"
1044,interest,관심; 권리; 이자
1045,reject,"거절하다, 거부하다"
1046,relation,관계
1047,tentatively,"임시로, 시험적으로"
1048,alternatively,"그렇지 않으면, 그 대신에"
1049,attentive,"주의 깊은, 세심한"
1050,convert,"전환하다, 변환하다"
1051,heavily,"몹시, 심하게"
1052,loan,"대출, 대출금"
1053,unexpected,예기치 않은
1054,cash,현금으로 바꾸다
1055,mortgage,(담보)대출
1056,payable,지불해야 하는
1057,personal,개인의
